Year,Category,Name,Birthdate,Birth Place,Country,Residence,Role/Affiliate,Field/Language,Prize Name,Motivation
1974,chemistry,Paul J. Flory,19-Jun-10,Sterling IL,USA,No Data," Stanford University, Stanford, CA, USA", Polymer chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1974 was awarded to Paul J. Flory for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules."
1974,economics,Friedrich August von Hayek,8 May 1899,Vienna,Austria,No Data,, Macroeconomics and institutional economics,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1974 was awarded jointly to Gunnar Myrdal and Friedrich August von Hayek for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena"
1974,economics,Gunnar Myrdal,6 December 1898,Skattungbyn,Sweden,No Data,, Macroeconomics and institutional economics,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1974 was awarded jointly to Gunnar Myrdal and Friedrich August von Hayek for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena"
1974,literature,Eyvind Johnson,29-Jul-00,Svartbjörnsbyn,Sweden,Sweden,No Data, Swedish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1974 was divided equally between Eyvind Johnson for a narrative art, far-seeing in lands and ages, in the service of freedom and Harry Martinson for writings that catch the dewdrop and reflect the cosmos."
1974,literature,Harry Martinson,06-May-04,Jämshög,Sweden,Sweden,No Data, Swedish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1974 was divided equally between Eyvind Johnson for a narrative art, far-seeing in lands and ages, in the service of freedom and Harry Martinson for writings that catch the dewdrop and reflect the cosmos."
1974,medicine,Albert Claude,24 August 1898,Longlier,Belgium,No Data," Université Catholique de Louvain, Louvain, Belgium",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1974 was awarded jointly to Albert Claude, Christian de Duve and George E. Palade for their discoveries concerning the structural and functional organization of the cell."
1974,medicine,Christian de Duve,02-Oct-17,Thames Ditton,United Kingdom,No Data," Rockefeller University, New York, NY, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1974 was awarded jointly to Albert Claude, Christian de Duve and George E. Palade for their discoveries concerning the structural and functional organization of the cell."
1974,medicine,George E. Palade,19-Nov-12,Iasi,Romania,No Data," Yale University, School of Medicine, New Haven, CT, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1974 was awarded jointly to Albert Claude, Christian de Duve and George E. Palade for their discoveries concerning the structural and functional organization of the cell."
1974,peace,Eisaku Sato,27-Mar-01,Tabuse,Japan,Japan, Prime Minister of Japan," Human rights, arms control and disarmament",The Nobel Peace Prize,The Nobel Peace Prize 1974 was awarded jointly to Seán MacBride and Eisaku Sato
1974,peace,Seán MacBride,26-Jan-04,Paris,France,Ireland," President of the Commission of Namibia, United Nations, New York, USA, President of the International Peace Bureau, Geneva, Switzerland"," Human rights, arms control and disarmament",The Nobel Peace Prize,The Nobel Peace Prize 1974 was awarded jointly to Seán MacBride and Eisaku Sato
1974,physics,Antony Hewish,11-May-24,Fowey,United Kingdom,No Data," University of Cambridge, Cambridge, United Kingdom", Astrophysics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1974 was awarded jointly to Sir Martin Ryle and Antony Hewish for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars"
1974,physics,Sir Martin Ryle,14-Sep-18,Brighton,United Kingdom,No Data," University of Cambridge, Cambridge, United Kingdom", Astrophysics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1974 was awarded jointly to Sir Martin Ryle and Antony Hewish for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars"
1975,chemistry,John Warcup Cornforth,07-Sep-17,Sydney,Australia,No Data," University of Sussex, Brighton, United Kingdom"," Organic chemistry, stereochemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1975 was divided equally between John Warcup Cornforth for his work on the stereochemistry of enzyme-catalyzed reactions and Vladimir Prelog for his research into the stereochemistry of organic molecules and reactions.
1975,chemistry,Vladimir Prelog,23-Jul-06,Sarajevo,Austria-Hungary (now Bosnia and Herzegovina),No Data," Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology), Zurich, Switzerland"," Organic chemistry, stereochemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1975 was divided equally between John Warcup Cornforth for his work on the stereochemistry of enzyme-catalyzed reactions and Vladimir Prelog for his research into the stereochemistry of organic molecules and reactions.
1975,economics,Leonid Vitaliyevich Kantorovich,19-Jan-12,St. Petersburg,Russian Empire,No Data," Academy of Sciences, Moscow, USSR", Theory of optimal allocation of resources,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1975 was awarded jointly to Leonid Vitaliyevich Kantorovich and Tjalling C. Koopmans for their contributions to the theory of optimum allocation of resources
1975,economics,Tjalling C. Koopmans,28-Aug-10,s Graveland,the Netherlands,No Data," Yale University, New Haven, CT, USA", Theory of optimal allocation of resources,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1975 was awarded jointly to Leonid Vitaliyevich Kantorovich and Tjalling C. Koopmans for their contributions to the theory of optimum allocation of resources
1975,literature,Eugenio Montale,12 October 1896,Genoa,Italy,Italy,No Data, Italian,The Nobel Prize in Literature,"The Nobel Prize in Literature 1975 was awarded to Eugenio Montale for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions."
1975,medicine,David Baltimore,07-Mar-38,New York NY,USA,No Data," Massachusetts Institute of Technology (MIT), Cambridge, MA, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1975 was awarded jointly to David Baltimore, Renato Dulbecco and Howard Martin Temin for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell."
1975,medicine,Howard Martin Temin,10-Dec-34,Philadelphia PA,USA,No Data," University of Wisconsin, Madison, WI, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1975 was awarded jointly to David Baltimore, Renato Dulbecco and Howard Martin Temin for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell."
1975,medicine,Renato Dulbecco,22-Feb-14,Catanzaro,Italy,No Data," Imperial Cancer Research Fund Laboratory, London, United Kingdom",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1975 was awarded jointly to David Baltimore, Renato Dulbecco and Howard Martin Temin for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell."
1975,peace,Andrei Dmitrievich Sakharov,21-May-21,Moscow,Russia,USSR, Soviet nuclear physicist, Human rights,The Nobel Peace Prize,The Nobel Peace Prize 1975 was awarded to Andrei Sakharov.
1975,physics,Aage Niels Bohr,19-Jun-22,Copenhagen,Denmark,No Data," Niels Bohr Institute, Copenhagen, Denmark", Theoretical nuclear physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1975 was awarded jointly to Aage Niels Bohr, Ben Roy Mottelson and Leo James Rainwater for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection."
1975,physics,Ben Roy Mottelson,09-Jul-26,Chicago IL,USA,No Data," Nordita, Copenhagen, Denmark", Theoretical nuclear physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1975 was awarded jointly to Aage Niels Bohr, Ben Roy Mottelson and Leo James Rainwater for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection."
1975,physics,Leo James Rainwater,09-Dec-17,Council ID,USA,No Data," Columbia University, New York, NY, USA", Theoretical nuclear physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1975 was awarded jointly to Aage Niels Bohr, Ben Roy Mottelson and Leo James Rainwater for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection."
1976,chemistry,William N. Lipscomb,09-Dec-19,Cleveland OH,USA,No Data," Harvard University, Cambridge, MA, USA"," Theoretical chemistry, chemical structure",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1976 was awarded to William Lipscomb for his studies on the structure of boranes illuminating problems of chemical bonding.
1976,economics,Milton Friedman,31-Jul-12,Brooklyn NY,USA,No Data," University of Chicago, Chicago, IL, USA", Macroeconomics,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1976 was awarded to Milton Friedman for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy."
1976,literature,Saul Bellow,10-Jun-15,Montreal,Canada,USA,No Data, English,The Nobel Prize in Literature,The Nobel Prize in Literature 1976 was awarded to Saul Bellow for the human understanding and subtle analysis of contemporary culture that are combined in his work.
1976,medicine,Baruch S. Blumberg,28-Jul-25,New York NY,USA,No Data," The Institute for Cancer Research, Philadelphia, PA, USA",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1976 was awarded jointly to Baruch S. Blumberg and D. Carleton Gajdusek for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases
1976,medicine,D. Carleton Gajdusek,09-Sep-23,Yonkers NY,USA,No Data," National Institutes of Health, Bethesda, MD, USA",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1976 was awarded jointly to Baruch S. Blumberg and D. Carleton Gajdusek for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases
1976,peace,Betty Williams,22-May-43,Belfast,Northern Ireland,United Kingdom, Founder of the Northern Ireland Peace Movement (later renamed Community of Peace People), Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1976 was awarded jointly to Betty Williams and Mairead Corrigan
1976,peace,Mairead Corrigan,27-Jan-44,Belfast,Northern Ireland,United Kingdom, Founder of the Northern Ireland Peace Movement (later renamed Community of Peace People), Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1976 was awarded jointly to Betty Williams and Mairead Corrigan
1976,physics,Burton Richter,22-Mar-31,Brooklyn NY,USA,No Data," Stanford Linear Accelerator Center, Stanford, CA, USA", Experimental particle physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1976 was awarded jointly to Burton Richter and Samuel Chao Chung Ting for their pioneering work in the discovery of a heavy elementary particle of a new kind
1976,physics,Samuel Chao Chung Ting,27-Jan-36,Ann Arbor MI,USA,No Data," Massachusetts Institute of Technology (MIT), Cambridge, MA, USA", Experimental particle physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1976 was awarded jointly to Burton Richter and Samuel Chao Chung Ting for their pioneering work in the discovery of a heavy elementary particle of a new kind
1977,chemistry,Ilya Prigogine,25-Jan-17,Moscow,Russia,No Data," Université Libre de Bruxelles, Brussels, Belgium, University of Texas, Austin, TX, USA"," Physical chemistry, chemical thermodynamics",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1977 was awarded to Ilya Prigogine for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures."
1977,economics,Bertil Ohlin,23 April 1899,Klippan,Sweden,No Data," Stockholm School of Economics, Stockholm, Sweden", International economics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1977 was awarded jointly to Bertil Ohlin and James E. Meade for their pathbreaking contribution to the theory of international trade and international capital movements
1977,economics,James E. Meade,23-Jun-07,Swanage,United Kingdom,No Data," University of Cambridge, Cambridge, United Kingdom", International economics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1977 was awarded jointly to Bertil Ohlin and James E. Meade for their pathbreaking contribution to the theory of international trade and international capital movements
1977,literature,Vicente Aleixandre,26 April 1898,Sevilla,Spain,Spain,No Data, Spanish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1977 was awarded to Vicente Aleixandre for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry beween the wars."
1977,medicine,Andrew V. Schally,30-Nov-26,Wilno (now Vilnius),Poland (now Lithuania),No Data," Veterans Administration Hospital, New Orleans, LA, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1977 was divided, one half jointly to Roger Guillemin and Andrew V. Schally for their discoveries concerning the peptide hormone production of the brain and the other half to Rosalyn Yalow for the development of radioimmunoassays of peptide hormones."
1977,medicine,Roger Guillemin,11-Jan-24,Dijon,France,No Data," The Salk Institute, San Diego, CA, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1977 was divided, one half jointly to Roger Guillemin and Andrew V. Schally for their discoveries concerning the peptide hormone production of the brain and the other half to Rosalyn Yalow for the development of radioimmunoassays of peptide hormones."
1977,medicine,Rosalyn Yalow,19-Jul-21,New York NY,USA,No Data," Veterans Administration Hospital, Bronx, NY, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1977 was divided, one half jointly to Roger Guillemin and Andrew V. Schally for their discoveries concerning the peptide hormone production of the brain and the other half to Rosalyn Yalow for the development of radioimmunoassays of peptide hormones."
1977,peace,Amnesty International,1961 in London,No Data,United Kingdom,No Data, A worldwide organization for the protection of the rights of prisoners of conscience, Human rights,The Nobel Peace Prize,The Nobel Peace Prize 1977 was awarded to Amnesty International.
1977,physics,John Hasbrouck van Vleck,13 March 1899,Middletown CT,USA,No Data," Harvard University, Cambridge, MA, USA", Condensed matter physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1977 was awarded jointly to Philip Warren Anderson, Sir Nevill Francis Mott and John Hasbrouck van Vleck for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems."
1977,physics,Philip Warren Anderson,13-Dec-23,Indianapolis IN,USA,No Data," Bell Telephone Laboratories, Murray Hill, NJ, USA", Condensed matter physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1977 was awarded jointly to Philip Warren Anderson, Sir Nevill Francis Mott and John Hasbrouck van Vleck for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems."
1977,physics,Sir Nevill Francis Mott,30-Sep-05,Leeds,United Kingdom,No Data," University of Cambridge, Cambridge, United Kingdom", Condensed matter physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1977 was awarded jointly to Philip Warren Anderson, Sir Nevill Francis Mott and John Hasbrouck van Vleck for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems."
1978,chemistry,Peter D. Mitchell,29-Sep-20,Mitcham,United Kingdom,No Data," Glynn Research Laboratories, Bodmin, United Kingdom", Biochemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1978 was awarded to Peter Mitchell for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory.
1978,economics,Herbert A. Simon,15-Jun-16,Milwaukee WI,USA,No Data," Carnegie Mellon University, Pittsburgh, PA, USA", Management science,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1978 was awarded to Herbert A. Simon for his pioneering research into the decision-making process within economic organizations.
1978,literature,Isaac Bashevis Singer,14-Jul-04,Leoncin,Russian Empire (now Poland),USA,No Data, Yiddish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1978 was awarded to Isaac Bashevis Singer for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life."
1978,medicine,Daniel Nathans,30-Oct-28,Wilmington DE,USA,No Data," Johns Hopkins University School of Medicine, Baltimore, MD, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1978 was awarded jointly to Werner Arber, Daniel Nathans and Hamilton O. Smith for the discovery of restriction enzymes and their application to problems of molecular genetics."
1978,medicine,Hamilton O. Smith,23-Aug-31,New York NY,USA,No Data," Johns Hopkins University School of Medicine, Baltimore, MD, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1978 was awarded jointly to Werner Arber, Daniel Nathans and Hamilton O. Smith for the discovery of restriction enzymes and their application to problems of molecular genetics."
1978,medicine,Werner Arber,03-Jun-29,Gränichen,Switzerland,No Data," Biozentrum der Universität, Basel, Switzerland",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1978 was awarded jointly to Werner Arber, Daniel Nathans and Hamilton O. Smith for the discovery of restriction enzymes and their application to problems of molecular genetics."
1978,peace,Menachem Begin,16-Aug-13,Brest Litovsk,Russian Empire (now Belarus),Israel, Prime Minister of Israel, Negotiation,The Nobel Peace Prize,The Nobel Peace Prize 1978 was awarded jointly to Mohamed Anwar al-Sadat and Menachem Begin
1978,peace,Mohamed Anwar al-Sadat,25-Dec-18,Mit Abu al-Kawm,Egypt,Egypt, President of the Arab Republic of Egypt, Negotiation,The Nobel Peace Prize,The Nobel Peace Prize 1978 was awarded jointly to Mohamed Anwar al-Sadat and Menachem Begin
1978,physics,Arno Allan Penzias,26-Apr-33,Munich,Germany,No Data," Bell Laboratories, Holmdel, NJ, USA", Astrophysics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1978 was divided, one half awarded to Pyotr Leonidovich Kapitsa for his basic inventions and discoveries in the area of low-temperature physics,the other half jointly to Arno Allan Penzias and Robert Woodrow Wilson for their discovery of cosmic microwave background radiation."
1978,physics,Pyotr Leonidovich Kapitsa,9 July 1894,Kronshtadt,Russian Empire,No Data," Academy of Sciences, Moscow, USSR"," Condensed matter physics, superfluidity",The Nobel Prize in Physics,"The Nobel Prize in Physics 1978 was divided, one half awarded to Pyotr Leonidovich Kapitsa for his basic inventions and discoveries in the area of low-temperature physics,the other half jointly to Arno Allan Penzias and Robert Woodrow Wilson for their discovery of cosmic microwave background radiation."
1978,physics,Robert Woodrow Wilson,10-Jan-36,Houston TX,USA,No Data," Bell Laboratories, Holmdel, NJ, USA", Astrophysics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1978 was divided, one half awarded to Pyotr Leonidovich Kapitsa for his basic inventions and discoveries in the area of low-temperature physics,the other half jointly to Arno Allan Penzias and Robert Woodrow Wilson for their discovery of cosmic microwave background radiation."
1979,chemistry,Georg Wittig,16 June 1897,Berlin,Germany,No Data," University of Heidelberg, Heidelberg, Federal Republic of Germany", Organic chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1979 was awarded jointly to Herbert C. Brown and Georg Wittig for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"
1979,chemistry,Herbert C. Brown,22-May-12,London,United Kingdom,No Data," Purdue University, West Lafayette, IN, USA", Organic chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1979 was awarded jointly to Herbert C. Brown and Georg Wittig for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"
1979,economics,Sir Arthur Lewis,23-Jan-15,Castries,British West Indies (now Saint Lucia),No Data," Princeton University, Princeton, NJ, USA", Development economics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1979 was awarded jointly to Theodore W. Schultz and Sir Arthur Lewis for their pioneering research into economic development research with particular consideration of the problems of developing countries
1979,economics,Theodore W. Schultz,30-Apr-02,Arlington SD,USA,No Data," University of Chicago, Chicago, IL, USA", Development economics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1979 was awarded jointly to Theodore W. Schultz and Sir Arthur Lewis for their pioneering research into economic development research with particular consideration of the problems of developing countries
1979,literature,Odysseus Elytis,02-Nov-11,Iráklion,Crete (now Greece),Greece,No Data, Greek,The Nobel Prize in Literature,"The Nobel Prize in Literature 1979 was awarded to Odysseus Elytis for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness."
1979,medicine,Allan M. Cormack,23-Feb-24,Johannesburg,South Africa,No Data," Tufts University, Medford, MA, USA",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1979 was awarded jointly to Allan M. Cormack and Godfrey N. Hounsfield for the development of computer assisted tomography
1979,medicine,Godfrey N. Hounsfield,28-Aug-19,Newark,United Kingdom,No Data," Central Research Laboratories, EMI, London, United Kingdom",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1979 was awarded jointly to Allan M. Cormack and Godfrey N. Hounsfield for the development of computer assisted tomography
1979,peace,Mother Teresa,26-Aug-10,Uskup (now Skopje),Ottoman Empire (now Republic of Macedonia),India," Leader of Missionaries of Charity, Calcutta", Humanitarian work,The Nobel Peace Prize,The Nobel Peace Prize 1979 was awarded to Mother Teresa.
1979,physics,Abdus Salam,29-Jan-26,Jhang Maghi?na,India (now Pakistan),No Data," International Centre for Theoretical Physics, Trieste, Italy, Imperial College, London, United Kingdom", Particle physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1979 was awarded jointly to Sheldon Lee Glashow, Abdus Salam and Steven Weinberg for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current."
1979,physics,Sheldon Lee Glashow,05-Dec-32,New York NY,USA,No Data," Harvard University, Lyman Laboratory, Cambridge, MA, USA", Particle physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1979 was awarded jointly to Sheldon Lee Glashow, Abdus Salam and Steven Weinberg for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current."
1979,physics,Steven Weinberg,03-May-33,New York NY,USA,No Data," Harvard University, Cambridge, MA, USA", Particle physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1979 was awarded jointly to Sheldon Lee Glashow, Abdus Salam and Steven Weinberg for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current."
1980,chemistry,Frederick Sanger,13-Aug-18,Rendcombe,United Kingdom,No Data," MRC Laboratory of Molecular Biology, Cambridge, United Kingdom", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1980 was divided, one half awarded to Paul Berg for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA,the other half jointly to Walter Gilbert and Frederick Sanger for their contributions concerning the determination of base sequences in nucleic acids."
1980,chemistry,Paul Berg,30-Jun-26,New York NY,USA,No Data," Stanford University, Stanford, CA, USA", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1980 was divided, one half awarded to Paul Berg for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA,the other half jointly to Walter Gilbert and Frederick Sanger for their contributions concerning the determination of base sequences in nucleic acids."
1980,chemistry,Walter Gilbert,21-Mar-32,Boston MA,USA,No Data," Harvard University, Biological Laboratories, Cambridge, MA, USA", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1980 was divided, one half awarded to Paul Berg for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA,the other half jointly to Walter Gilbert and Frederick Sanger for their contributions concerning the determination of base sequences in nucleic acids."
1980,economics,Lawrence R. Klein,14-Sep-20,Omaha NE,USA,No Data," University of Pennsylvania, Philadelphia, PA, USA", Macroeconometrics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1980 was awarded to Lawrence R. Klein for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies.
1980,literature,Czeslaw Milosz,30-Jun-11,?ateiniai,Russian Empire (now Lithuania),"Poland, USA",No Data, Polish,The Nobel Prize in Literature,The Nobel Prize in Literature 1980 was awarded to Czeslaw Milosz who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts.
1980,medicine,Baruj Benacerraf,29-Oct-20,Caracas,Venezuela,No Data," Harvard Medical School, Boston, MA, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1980 was awarded jointly to Baruj Benacerraf, Jean Dausset and George D. Snell for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions."
1980,medicine,George D. Snell,19-Dec-03,Bradford MA,USA,No Data," Jackson Laboratory, Bar Harbor, ME, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1980 was awarded jointly to Baruj Benacerraf, Jean Dausset and George D. Snell for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions."
1980,medicine,Jean Dausset,19-Oct-16,Toulouse,France,No Data," Université de Paris, Laboratoire Immuno-Hématologie, Paris, France",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1980 was awarded jointly to Baruj Benacerraf, Jean Dausset and George D. Snell for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions."
1980,peace,Adolfo Pérez Esquivel,26-Nov-31,Buenos Aires,Argentina,Argentina," Human rights leader, Sculptor, Architect", Human rights,The Nobel Peace Prize,The Nobel Peace Prize 1980 was awarded to Adolfo Pérez Esquivel.
1980,physics,James Watson Cronin,29-Sep-31,Chicago IL,USA,No Data," University of Chicago, Chicago, IL, USA", Particle physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1980 was awarded jointly to James Watson Cronin and Val Logsdon Fitch for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons
1980,physics,Val Logsdon Fitch,10-Mar-23,Merriman NE,USA,No Data," Princeton University, Princeton, NJ, USA", Particle physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1980 was awarded jointly to James Watson Cronin and Val Logsdon Fitch for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons
1981,chemistry,Kenichi Fukui,04-Oct-18,Nara,Japan,No Data," Kyoto University, Kyoto, Japan", Theoretical chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1981 was awarded jointly to Kenichi Fukui and Roald Hoffmann for their theories, developed independently, concerning the course of chemical reactions"
1981,chemistry,Roald Hoffmann,18-Jul-37,Zloczov,Poland,No Data," Cornell University, Ithaca, NY, USA", Theoretical chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1981 was awarded jointly to Kenichi Fukui and Roald Hoffmann for their theories, developed independently, concerning the course of chemical reactions"
1981,economics,James Tobin,05-Mar-18,Champaign IL,USA,No Data," Yale University, New Haven, CT, USA", Macroeconomics,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1981 was awarded to James Tobin for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices."
1981,literature,Elias Canetti,25-Jul-05,Ruse,Bulgaria,United Kingdom,No Data, German,The Nobel Prize in Literature,"The Nobel Prize in Literature 1981 was awarded to Elias Canetti for writings marked by a broad outlook, a wealth of ideas and artistic power."
1981,medicine,David H. Hubel,27-Feb-26,Windsor ON,Canada,No Data," Harvard Medical School, Boston, MA, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1981 was divided, one half awarded to Roger W. Sperry for his discoveries concerning the functional specialization of the cerebral hemispheres,the other half jointly to David H. Hubel and Torsten N. Wiesel for their discoveries concerning information processing in the visual system."
1981,medicine,Roger W. Sperry,20-Aug-13,Hartford CT,USA,No Data," California Institute of Technology (Caltech), Pasadena, CA, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1981 was divided, one half awarded to Roger W. Sperry for his discoveries concerning the functional specialization of the cerebral hemispheres,the other half jointly to David H. Hubel and Torsten N. Wiesel for their discoveries concerning information processing in the visual system."
