number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
43,Technetium,Tc,"technetium, Tc","/t?k?ni??i?m/, tek-NEE-shee-?m",shiny gray metal,43,"group 7, d-block",5,transition metal,98,[Kr] 4d5 5s2,2,,solid,2430,4538,,,,,,33.29,585.2,24.27,"vapor pressure (extrapolated), P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2727, 2998, 3324, 3726, 4234, 4894",7,Pauling scale: 1.9,"1st: 702 kJ/mol, 2nd: 1470 kJ/mol, 3rd: 2850 kJ/mol",147±7 pm,,hexagonal close-packed (hcp),,50.6,Paramagnetic,7440-26-8,,,"iso
NA
half-life
DM
DE (MeV)
DP


95mTc
syn
61 d
?
–
95Mo


?
0.204, 0.582,
0.835
–


IT
0.0389, e
95Tc


96Tc
syn
4.3 d
?
–
96Mo


?
0.778, 0.849,
0.812
–


97Tc
syn
2.6×106 y
?
–
97Mo


97mTc
syn
91 d
IT
0.965, e
97Tc


98Tc
syn
4.2×106 y
??
0.4
98Ru


?
0.745, 0.652
–


99Tc
trace
2.111×105 y
??
0.294
99Ru


99mTc
syn
6.01 h
IT
0.142, 0.002
99Tc


?
0.140
–",2727,,,11,empirical: 136 pm,16200,7.1,200,,,,,,,,,,,,,,Dmitri Mendeleev (1871),Emilio Segrè and Carlo Perrier (1937),,,,,,,,,,,
44,Ruthenium,Ru,"ruthenium, Ru","/ru???i?ni?m/, roo-THEE-nee-?m",silvery white metallic,44,"group 8, d-block",5,transition metal,101.072,[Kr] 4d7 5s1,2,,,2607,4423,,10.65,,,,38.59,619,24.06,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2588, 2811, 3087, 3424, 3845, 4388",-4,Pauling scale: 2.2,"1st: 710.2 kJ/mol, 2nd: 1620 kJ/mol, 3rd: 2747 kJ/mol",146±7 pm,,hexagonal close-packed (hcp),,117,paramagnetic,7440-18-8,,,"iso
NA
half-life
DM
DE (MeV)
DP


96Ru
5.54%
96Ru is stable with 52 neutrons


97Ru
syn
2.9 d
?
–
97Tc


?
0.215, 0.324
–


98Ru
1.87%
98Ru is stable with 54 neutrons


99Ru
12.76%
99Ru is stable with 55 neutrons


100Ru
12.60%
100Ru is stable with 56 neutrons


101Ru
17.06%
101Ru is stable with 57 neutrons


102Ru
31.55%
102Ru is stable with 58 neutrons


103Ru
syn
39.26 d
??
0.226
103Rh


?
0.497
–


104Ru
18.62%
104Ru is stable with 60 neutrons


106Ru
syn
373.59 d
??
0.039
106Rh",2588,after Ruthenia (Latin for: medieval Kyivska Rus' region),,12.45,empirical: 134 pm,5970,6.4,71,447,173,220,6.5,2160,0.3,,,,,,,,,Karl Ernst Claus (1844),,,,,,,,,,,
45,Rhodium,Rh,"rhodium, Rh","/?ro?di?m/, ROH-dee-?m",silvery white metallic,45,"group 9, d-block",5,transition metal,102.905502,[Kr] 4d8 5s1,2,,solid,2237,3968,,10.7,,,,26.59,493,24.98,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2288, 2496, 2749, 3063, 3405, 3997",6,Pauling scale: 2.28,"1st: 719.7 kJ/mol, 2nd: 1740 kJ/mol, 3rd: 2997 kJ/mol",142±7 pm,,face-centered cubic (fcc),,150,paramagnetic,7440-16-6,,,"iso
NA
half-life
DM
DE (MeV)
DP


99Rh
syn
16.1 d
?
–
99Ru


?
0.089, 0.353,
0.528
–


101mRh
syn
4.34 d
?
–
101Ru


IT
0.157
101Rh


?
0.306, 0.545
–


101Rh
syn
3.3 y
?
–
101Ru


?
0.127, 0.198,
0.325
–


102mRh
syn
3.7 y
?
–
102Ru


?
0.475, 0.631,
0.697, 1.046
–


102Rh
syn
207 d
?
–
102Ru


?+
0.826, 1.301
102Ru


??
1.151
102Pd


?
0.475, 0.628
–


103Rh
100%
103Rh is stable with 58 neutrons


105Rh
syn
35.36 h
??
0.247, 0.260,
0.566
105Pd


?
0.306, 0.318
–",2288,,,12.41,empirical: 134 pm,4700,8.2,43.3,380,150,275,6,980–1350 MPa,0.26,1100–8000 MPa,,,,,,,,William Hyde Wollaston (1804),,,,,,,,,,,
46,Palladium,Pd,"palladium, Pd","/p??le?di?m/, p?-LAY-dee-?m",silvery white,46,"group 10, d-block",5,transition metal,106.421,[Kr] 4d10,2,,solid,1828.05,3236,,10.38,,,,16.74,358,25.98,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1721, 1897, 2117, 2395, 2753, 3234",0,Pauling scale: 2.20,"1st: 804.4 kJ/mol, 2nd: 1870 kJ/mol, 3rd: 3177 kJ/mol",139±6 pm,163,face-centered cubic (fcc),,71.8,paramagnetic,7440-05-3,,,"iso
NA
half-life
DM
DE (MeV)
DP


100Pd
syn
3.63 d
?
–
100Rh


?
0.084, 0.074,
0.126
–


102Pd
1.02%
102Pd is stable with 56 neutrons


103Pd
syn
16.991 d
?
–
103Rh


104Pd
11.14%
104Pd is stable with 58 neutrons


105Pd
22.33%
105Pd is stable with 59 neutrons


106Pd
27.33%
106Pd is stable with 60 neutrons


107Pd
trace
6.5×106 y
??
0.033
107Ag


108Pd
26.46%
108Pd is stable with 62 neutrons


110Pd
11.72%
110Pd is stable with 64 neutrons",1721,"after asteroid Pallas, itself named after Pallas Athena",,12.023,empirical: 137 pm,3070,11.8,105.4,121,44,180,4.75,320–610 MPa,0.39,400–600 MPa,,,,,,,,William Hyde Wollaston (1803),,,,,,,,,,,
47,Silver,Ag,"silver, Ag","/?s?lv?r/, SIL-v?r",lustrous white metal,47,"group 11, d-block",5,transition metal,107.86822,[Kr] 4d10 5s1,2,,solid,1234.93,2435,,9.32,,,,11.28,254,25.35,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1283, 1413, 1575, 1782, 2055, 2433","?2, ?1, 1, 2, 3, 4 (an amphoteric oxide)",Pauling scale: 1.93,"1st: 731.0 kJ/mol, 2nd: 2070 kJ/mol, 3rd: 3361 kJ/mol",145±5 pm,172,face-centered cubic (fcc),,429,diamagnetic,7440-22-4,before 5000 BC,,"iso
NA
half-life
DM
DE (MeV)
DP


105Ag
syn
41.2 d
?
–
105Pd


?
0.344, 0.280,
0.644, 0.443
–


106mAg
syn
8.28 d
?
–
106Pd


?
0.511, 0.717,
1.045, 0.450
–


107Ag
51.839%
107Ag is stable with 60 neutrons


108mAg
syn
418 y
?
–
108Pd


IT
0.109
108Ag


?
0.433, 0.614,
0.722
–


109Ag
48.161%
109Ag is stable with 62 neutrons


111Ag
syn
7.45 d
??
1.036, 0.694
111Cd


?
0.342
–",1283,,,10.49,empirical: 144 pm,2680,18.9,15.87,83,30,100,2.5,206–250 MPa,0.37,251,,,,,,,,,,,,,,,174,,,,
48,Cadmium,Cd,"cadmium, Cd","/?kædmi?m/, KAD-mee-?m",silvery bluish-gray metallic,48,"group 12, d-block",5,"transition metal, alternatively considered a post-transition metal",112.4144,[Kr] 4d10 5s2,2,,solid,594.22,1040,,7.996,,,,6.21,99.87,26.02,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 530, 583, 654, 745, 867, 1040",2,Pauling scale: 1.69,"1st: 867.8 kJ/mol, 2nd: 1631.4 kJ/mol, 3rd: 3616 kJ/mol",144±9 pm,158,hexagonal close-packed (hcp),,96.6,diamagnetic,7440-43-9,,Friedrich Stromeyer (1817),"iso, NA, half-life, DM, DE (MeV), DP, 106Cd, 1.25%, 106Cd is stable with 58 neutrons, 107Cd, syn, 6.5 h, ?, 1.417, 107Ag, 108Cd, 0.89%, 108Cd is stable with 60 neutrons, 109Cd, syn, 462.6 d, ?, 0.214, 109Ag, 110Cd, 12.47%, 110Cd is stable with 62 neutrons, 111Cd, 12.80%, 111Cd is stable with 63 neutrons, 112Cd, 24.11%, 112Cd is stable with 64 neutrons, 113Cd, 12.23%, 7.7×1015 y, ??, 0.316, 113In, 113mCd, syn, 14.1 y, ??, 0.580, 113In, IT, 0.264, 113Cd, 114Cd, 28.75%, 114Cd is stable with 66 neutrons, 115Cd, syn, 53.46 h, ??, 1.446, 115In, 116Cd, 7.51%, 3.1×1019 y, ????, 2.809, 116Sn",530,,,8.65,empirical: 151 pm,2310,30.8,72.7,50,19,42,2,203–220 MPa,0.3,,,,,,,,,Karl Samuel Leberecht Hermann and Friedrich Stromeyer (1817),,,,,,,,,,,
49,Indium,In,"indium, In","/??ndi?m/, IN-dee-?m",silvery lustrous gray,49,"group 13, p-block",5,post-transition metal,114.8181,[Kr] 4d10 5s2 5p1,2,,solid,429.7485,2345,,7.02,,429.7445,,3.281,231.8,26.74,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1196, 1325, 1485, 1690, 1962, 2340",3,Pauling scale: 1.78,"1st: 558.3 kJ/mol, 2nd: 1820.7 kJ/mol, 3rd: 2704 kJ/mol",142±5 pm,193,tetragonal,,81.8,diamagnetic,7440-74-6,Ferdinand Reich and Hieronymous Theodor Richter (1863),,"iso, NA, half-life, DM, DE (MeV), DP, 113In, 4.28%, 113In is stable with 64 neutrons, 115In, 95.72%, 4.41×1014 y, ??, 0.495, 115Sn",1196,,Hieronymous Theodor Richter (1864),7.31,empirical: 167 pm,1215,32.1,83.7,11,,,1.2,8.8–10.0 MPa,,,,,,,,,,,,,,,,,,,,,
50,Tin,Sn,"tin, Sn","/?t?n/, TIN","silvery-white (beta, ?) or gray (alpha, ?)",50,"group 14 (carbon group), p-block",5,post-transition metal,118.7107,[Kr] 4d10 5s2 5p2,2,,solid,505.08,2875,,6.99,,,,"white, ?: 7.03 kJ/mol","white, ?: 296.1 kJ/mol","white, ?: 27.112 J/(mol·K)","vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1497, 1657, 1855, 2107, 2438, 2893",4,Pauling scale: 1.96,"1st: 708.6 kJ/mol, 2nd: 1411.8 kJ/mol, 3rd: 2943.0 kJ/mol",139±4 pm,217,"face-centered diamond-cubic, gray (?)",,66.8,"gray: diamagnetic, white (?): paramagnetic",7440-31-5,around 3500 BC,,"iso, NA, half-life, DM, DE (MeV), DP, 112Sn, 0.97%, 112Sn is stable with 62 neutrons, 114Sn, 0.66%, 114Sn is stable with 64 neutrons, 115Sn, 0.34%, 115Sn is stable with 65 neutrons, 116Sn, 14.54%, 116Sn is stable with 66 neutrons, 117Sn, 7.68%, 117Sn is stable with 67 neutrons, 118Sn, 24.22%, 118Sn is stable with 68 neutrons, 119Sn, 8.59%, 119Sn is stable with 69 neutrons, 120Sn, 32.58%, 120Sn is stable with 70 neutrons, 122Sn, 4.63%, 122Sn is stable with 72 neutrons, 124Sn, 5.79%, 124Sn is stable with 74 neutrons, 126Sn, trace, 2.3×105 y, ??, 0.380 +, 126Sb",1497,,,"white, ?: 7.265 g/cm3
gray, ?: 5.769 g/cm3",empirical: 140 pm,2730,22,115,50,18,58,,50–440 MPa,0.36,,"alpha, ? (gray); beta, ? (white)",,,,,,,,,,,,,,,,,,
51,Antimony,Sb,"antimony, Sb","UK /?ænt?m?ni/, AN-ti-m?-nee
US /?ænt?mo?ni/, AN-ti-moh-nee",silvery lustrous gray,51,"group 15 (pnictogens), p-block",5,metalloid,121.7601,[Kr] 4d10 5s2 5p3,2,,solid,903.78,1908,,6.53,,,,19.79,193.43,25.23,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 807, 876, 1011, 1219, 1491, 1858",5,Pauling scale: 2.05,"1st: 834 kJ/mol, 2nd: 1594.9 kJ/mol, 3rd: 2440 kJ/mol, (more)",139±5 pm,206,rhombohedral,,24.4,diamagnetic,7440-36-0,3000,,"iso, NA, half-life, DM, DE (MeV), DP, 121Sb, 57.21%, 121Sb is stable with 70 neutrons, 123Sb, 42.79%, 123Sb is stable with 72 neutrons, 125Sb, syn, 2.7582 y, ??, 0.767, 125Te",807,,Vannoccio Biringuccio (1540),6.697,empirical: 140 pm,3420,11,417,55,20,42,3,294–384 MPa,,,,,,,,,,,,,,,,,,,,,
52,Tellurium,Te,"tellurium, Te","/t??l???ri?m/, te-LEWR-ee-?m","silvery lustrous gray (crystalline),, brown-black powder (amorphous)",52,"group 16 (chalcogens), p-block",5,metalloid,127.603,[Kr] 4d10 5s2 5p4,2,,solid,722.66,1261,,5.7,,,,17.49,114.1,25.73,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), (775), (888), 1042, 1266",6,Pauling scale: 2.1,"1st: 869.3 kJ/mol, 2nd: 1790 kJ/mol, 3rd: 2698 kJ/mol",138±4 pm,206,hexagonal,,1.97–3.38 W/(m·K),diamagnetic,13494-80-9,Franz-Joseph Müller von Reichenstein (1782),,"iso, NA, half-life, DM, DE (MeV), DP, 120Te, 0.09%, 120Te is stable with 68 neutrons, 121Te, syn, 16.78 d, ?, 1.040, 121Sb, 122Te, 2.55%, 122Te is stable with 70 neutrons, 123Te, 0.89%, 123Te is stable with 71 neutrons, 124Te, 4.74%, 124Te is stable with 72 neutrons, 125Te, 7.07%, 125Te is stable with 73 neutrons, 126Te, 18.84%, 126Te is stable with 74 neutrons, 127Te, syn, 9.35 h, ??, 0.698, 127I, 128Te, 31.74%, 2.2×1024 y, ????, 0.867, 128Xe, 129Te, syn, 69.6 min, ??, 1.498, 129I, 130Te, 34.08%, 7.9×1020 y, ????, 2.528, 130Xe",,"after Roman Tellus, deity of the Earth",Martin Heinrich Klaproth,6.24,empirical: 140 pm,2610,18,,43,16,65,2.25,180–270 MPa,,,,,,,,,,,,,,,,,,,,,
53,Iodine,I,"iodine, I","/?a?.?da?n/, /?a?.?d?n/, or /?a?.?di?n/
EYE-?-dyn, EYE-?-d?n, or EYE-?-deen","lustrous metallic gray, violet as a gas",53,"group 17 (halogens), p-block",5,diatomic nonmetal,126.904473,[Kr] 4d10 5s2 5p5,2,,solid,386.85,457.4,,,,386.65,819,(I2) 15.52 kJ/mol,,(I2) 54.44 J/(mol·K),"vapour pressure (rhombic), P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 260, 282, 309, 342, 381, 457",7,Pauling scale: 2.66,,139±3 pm,198,orthorhombic,,0.449,diamagnetic,7553-56-2,,,"iso
NA
half-life
DM
DE (MeV)
DP


123I
syn
13 h
?, ?
0.16
123Te


124I
syn
4.176 d
?
–
124Te


125I
syn
59.40 d
?
–
125Te


127I
100%
127I is stable with 74 neutrons


129I
trace
1.57×107 y
??
0.194
129Xe


131I
syn
8.02070 d
??, ?
0.971
131Xe


135I
syn
6.57 h
??
–
135Xe",260,,,4.933,empirical: 140 pm,,,1.3×107 ?·m (at 0 °C),,,7.7,,,,,,,,,(I2) 41.57 kJ/mol,"1st: 1008.4 kJ/mol, 2nd: 1845.9 kJ/mol, 3rd: 3180 kJ/mol",,Bernard Courtois (1811),,,,,,,,,,,
54,Xenon,Xe,"xenon, Xe","/?z?n?n/ or /?zi?n?n/, ZEN-on or ZEE-non","colorless gas, exhibiting a blue glow when placed in a high voltage electric field",54,"group 18 (noble gases), p-block",5,noble gas,131.2936,[Kr] 4d10 5s2 5p6,2,,gas,161.4,165.051,5.894,,2.942,161.405,289.733,2.27,12.64,21.01,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 83, 92, 103, 117, 137, 165",0,Pauling scale: 2.6,"1st: 1170.4 kJ/mol, 2nd: 2046.4 kJ/mol, 3rd: 3099.4 kJ/mol",140±9 pm,216,face-centered cubic (fcc),"gas: 178 m·s?1, liquid: 1090 m/s",5.65×10?3 W/(m·K),diamagnetic,7440-63-3,,,"iso, NA, half-life, DM, DE (MeV), DP, 124Xe, 0.095%, 124Xe is stable with 70 neutrons, 125Xe, syn, 16.9 h, ?, 1.652, 125I, 126Xe, 0.089%, 126Xe is stable with 72 neutrons, 127Xe, syn, 36.345 d, ?, 0.662, 127I, 128Xe, 1.910%, 128Xe is stable with 74 neutrons, 129Xe, 26.401%, 129Xe is stable with 75 neutrons, 130Xe, 4.071%, 130Xe is stable with 76 neutrons, 131Xe, 21.232%, 131Xe is stable with 77 neutrons, 132Xe, 26.909%, 132Xe is stable with 78 neutrons, 133Xe, syn, 5.247 d, ??, 0.427, 133Cs, 134Xe, 10.436%, 134Xe is stable with 80 neutrons, 135Xe, syn, 9.14 h, ??, 1.16, 135Cs, 136Xe, 8.857%, 2.165×1021 y, ????, 2.45783, 136Ba",83,,,,,,,,,,,,,,,,,,,,,,William Ramsay and Morris Travers (1898),,,,,,,,,,,
55,Cesium,Cs,"caesium, Cs","/?si?zi?m/, SEE-zee-?m",pale gold,55,"group 1 (alkali metals), s-block",6,alkali metal,132.905452,[Xe] 6s1,2,,solid,301.7,944,,1.843,,,1938,2.09,63.9,32.21,,"+1, ?1 (a strongly basic oxide)",Pauling scale: 0.79,"1st: 375.7 kJ/mol, 2nd: 2234.3 kJ/mol, 3rd: 3400 kJ/mol",244±11 pm,343,body-centred cubic (bcc),,35.9,paramagnetic,7440-46-2,Robert Bunsen and Gustav Kirchhoff (1860),,"iso, NA, half-life, DM, DE (MeV), DP, 133Cs, 100%, 133Cs is stable with 78 neutrons, 134Cs, syn, 2.0648 y, ?, 1.229, 134Xe, ??, 2.059, 134Ba, 135Cs, trace, 2.3×106 y, ??, 0.269, 135Ba, 137Cs, syn, 30.17 y, ??, 1.174, 137Ba",,"from Latin caesius, sky blue, for its spectral colours",Carl Setterberg (1882),1.93,empirical: 265 pm,,97,205,1.7,,1.6,0.2,0.14,,,,,,,,,,,cesium,,,,,,,,,,
56,Barium,Ba,"barium, Ba","/?b?ri?m/, BAIR-ee-?m",silvery gray; with a pale yellow tint,56,"group 2 (alkaline earth metals), s-block",6,alkaline earth metals,137.3277,[Xe] 6s2,2,,solid,1000,2118,,3.338,,,,7.12,142,28.07,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 911, 1038, 1185, 1388, 1686, 2170","+2, +1 (a strongly basic oxide)",Pauling scale: 0.89,"1st: 502.9 kJ/mol, 2nd: 965.2 kJ/mol, 3rd: 3600 kJ/mol",215±11 pm,268,body-centered cubic (bcc),,18.4,paramagnetic,7440-39-3,Carl Wilhelm Scheele (1772),,"iso, NA, half-life, DM, DE (MeV), DP, 130Ba, 0.11%, (0.5–2.7)×1021 y, ??, 2.620, 130Xe, 132Ba, 0.10%, 132Ba is stable with 76 neutrons, 133Ba, syn, 10.51 y, ?, 0.517, 133Cs, 134Ba, 2.42%, 134Ba is stable with 78 neutrons, 135Ba, 6.59%, 135Ba is stable with 79 neutrons, 136Ba, 7.85%, 136Ba is stable with 80 neutrons, 137Ba, 11.23%, 137Ba is stable with 81 neutrons, 138Ba, 71.70%, 138Ba is stable with 82 neutrons",911,,Humphry Davy (1808),3.51,empirical: 222 pm,1620,20.6,332,13,4.9,9.6,1.25,,,,,,,,,,,,,,,,,,,,,,
57,Lanthanum,La,"lanthanum, La",/?læn??n?m/,silvery white,57,"group n/a, f-block",6,"lanthanide, sometimes considered a transition metal",138.905477,[Xe] 5d1 6s2,2,,solid,1193,3737,,5.94,,,,6.2,400,27.11,"vapor pressure (extrapolated), P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2005, 2208, 2458, 2772, 3178, 3726",3,Pauling scale: 1.10,"1st: 538.1 kJ/mol, 2nd: 1067 kJ/mol, 3rd: 1850.3 kJ/mol",207±8 pm,,double hexagonal close-packed (dhcp),,13.4,paramagnetic,7439-91-0,Carl Gustaf Mosander (1838),,"iso, NA, half-life, DM, DE (MeV), DP, 137La, syn, 6×104 y, ?, 0.600, 137Ba, 138La, 0.089%, 1.05×1011 y, ?, 1.737, 138Ba, ??, 1.044, 138Ce, 139La, 99.911%, 139La is stable with 82 neutrons",2005,,,6.162,empirical: 187 pm,2475,"?, poly: 12.1 µm/(m·K) (at r.t.)","?, poly: 615 n?·m (at r.t.)",? form: 36.6 GPa,? form: 14.3 GPa,? form: 27.9 GPa,2.5,350–400 MPa,? form: 0.280,360–1750 MPa,,,,,,,,,,,,,,,,,,,
58,Cerium,Ce,"cerium, Ce",/?s??ri?m/,silvery white,58,"group n/a, f-block",6,lanthanide,140.1161,[Xe] 4f1 5d1 6s2,2,,solid,1068,3716,,6.55,,,,5.46,,26.94,"vapour pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1992, 2194, 2442, 2754, 3159, 3705",4,Pauling scale: 1.12,,204±9 pm,,"face-centred cubic (fcc), ?-Ce",,11.3,paramagnetic,7440-45-1,"Martin Heinrich Klaproth, Jöns Jakob Berzelius, Wilhelm Hisinger (1803)",,"iso, NA, half-life, DM, DE (MeV), DP, 134Ce, syn, 3.16 d, ?, 0.500, 134La, 136Ce, 0.186%, 136Ce is stable with 78 neutrons, 138Ce, 0.251%, 138Ce is stable with 80 neutrons, 139Ce, syn, 137.640 d, ?, 0.278, 139La, 140Ce, 88.449%, 140Ce is stable with 82 neutrons, 141Ce, syn, 32.501 d, ??, 0.581, 141Pr, 142Ce, 11.114%, 142Ce is stable with 84 neutrons, 143Ce, syn, 33.039 d, ??, 1.462, 143Pr, 144Ce, syn, 284.893 d, ??, 0.319, 144Pr",1992,"after dwarf planet Ceres, itself named after Roman deity of agriculture Ceres",Carl Gustaf Mosander (1839),6.77,empirical: 181.8 pm,2100,"?, poly: 6.3 µm/(m·K) (at r.t.)","?, poly: 828 n?·m (at r.t.)",? form: 33.6 GPa,? form: 13.5 GPa,? form: 21.5 GPa,2.5,186–412 MPa,? form: 0.24,210–470 MPa,,,,,398,"1st: 534.4 kJ/mol, 2nd: 1050 kJ/mol, 3rd: 1949 kJ/mol, (more)",,,,,,,,,,,,,
59,Praseodymium,Pr,"praseodymium, Pr","/pre?zi???d?mi?m/, pray-zee-?-DIM-ee-?m",grayish white,59,"group n/a, f-block",6,lanthanide,140.907662,[Xe] 4f3 6s2,2,,solid,1208,3403,,6.5,,,,6.89,331,27.2,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1771, 1973, (2227), (2571), (3054), (3779)",5,Pauling scale: 1.13,"1st: 527 kJ/mol, 2nd: 1020 kJ/mol, 3rd: 2086 kJ/mol",203±7 pm,,double hexagonal close-packed (dhcp),,12.5,paramagnetic,7440-10-0,Carl Auer von Welsbach (1885),,"iso, NA, half-life, DM, DE (MeV), DP, 141Pr, 100%, 141Pr is stable with 82 neutrons, 142Pr, syn, 19.12 h, ??, 2.162, 142Nd, ?, 0.745, 142Ce, 143Pr, syn, 13.57 d, ??, 0.934, 143Nd",1771,,,6.77,empirical: 182 pm,2280,"?, poly: 6.7 µm/(m·K) (at r.t.)","?, poly: 0.700 µ?·m (at r.t.)",? form: 37.3 GPa,? form: 14.8 GPa,? form: 28.8 GPa,,250–640 MPa,? form: 0.281,250–745 MPa,,,,,,,,,,,,,,,,,,,
60,Neodymium,Nd,"neodymium, Nd","/?ni?.o??d?mi?m/, NEE-o-DIM-ee-?m",silvery white,60,"group n/a, f-block",6,lanthanide,144.2423,[Xe] 4f4 6s2,2,,solid,1297,3347,,6.89,,,,7.14,289,27.45,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1595, 1774, 1998, (2296), (2715), (3336)","+4, +3, +2 (a mildly basic oxide)",Pauling scale: 1.14,"1st: 533.1 kJ/mol, 2nd: 1040 kJ/mol, 3rd: 2130 kJ/mol",201±6 pm,,double hexagonal close-packed (dhcp),,16.5,"paramagnetic, antiferromagnetic below 20 K",7440-00-8,Carl Auer von Welsbach (1885),,"iso, NA, half-life, DM, DE (MeV), DP, 142Nd, 27.2%, 142Nd is stable with 82 neutrons, 143Nd, 12.2%, 143Nd is stable with 83 neutrons, 144Nd, 23.8%, 2.29×1015 y, ?, 1.905, 140Ce, 145Nd, 8.3%, 145Nd is stable with 85 neutrons, 146Nd, 17.2%, 146Nd is stable with 86 neutrons, 148Nd, 5.8%, 148Nd is stable with 88 neutrons, 150Nd, 5.6%, 6.7×1018 y, ????, 3.367, 150Sm",1595,,,7.01,empirical: 181 pm,2330,"?, poly: 9.6 µm/(m·K) (at r.t.)","?, poly: 643 n?·m",? form: 41.4 GPa,? form: 16.3 GPa,? form: 31.8 GPa,,265–700 MPa,? form: 0.281,345–745 MPa,,,,,,,,,,,,,,,,,,,
61,Promethium,Pm,"promethium, Pm","/pro??mi??i?m/, pro-MEE-thee-?m",metallic,61,"group n/a, f-block",6,lanthanide,145,[Xe] 4f5 6s2,2,,solid,1315,3273,,,,,,7.13,289,,,3,Pauling scale: 1.13 (?),"1st: 540 kJ/mol, 2nd: 1050 kJ/mol, 3rd: 2150 kJ/mol",199,,double hexagonal close-packed (dhcp),,17.9,paramagnetic,7440-12-2,"Chien Shiung Wu, Emilio Segrè, Hans Bethe (1942)",Grace Mary Coryell (1945),"iso, NA, half-life, DM, DE (MeV), DP, 145Pm, syn, 17.7 y, ?, 0.163, 145Nd, 146Pm, syn, 5.53 y, ?, 1.472, 146Nd, ??, 1.542, 146Sm, 147Pm, trace, 2.6234 y, ??, 0.224, 147Sm",,,"Charles D. Coryell, Jacob A. Marinsky, Lawrence E. Glendenin, Harold G. Richter (1945)",7.26,empirical: 183 pm,,9,est. 0.75 µ?·m (at r.t.),? form: est. 46 GPa,? form: est. 18 GPa,? form: est. 33 GPa,,,? form: est. 0.28,,,,,,,,,,,,,,,,,,,,
